"","Date","Count"
"1","1950-01",4
"2","1950-02",16
"3","1950-03",4
"4","1950-04",17
"5","1950-05",26
"6","1950-06",1
"7","1950-07",23
"8","1950-08",32
"9","1950-09",45
"10","1950-10",22
"11","1950-11",5
"12","1950-12",210
"13","1951-01",852
"14","1951-02",3
"15","1951-03",31
"16","1951-04",25
"17","1951-05",26
"18","1951-06",10
"19","1951-07",70
"20","1951-08",6
"21","1951-09",27
"22","1951-10",43
"23","1951-11",64
"24","1951-12",261
"25","1952-01",818
"26","1952-02",25
"27","1952-03",41
"28","1952-04",50
"29","1952-05",32
"30","1952-06",19
"31","1952-07",34
"32","1952-08",18
"33","1952-09",58
"34","1952-10",47
"35","1952-11",39
"36","1952-12",300
"37","1953-01",762
"38","1953-02",19
"39","1953-03",78
"40","1953-04",47
"41","1953-05",35
"42","1953-06",44
"43","1953-07",80
"44","1953-08",24
"45","1953-09",73
"46","1953-10",37
"47","1953-11",45
"48","1953-12",364
"49","1954-01",1096
"50","1954-02",41
"51","1954-03",41
"52","1954-04",190
"53","1954-05",55
"54","1954-06",37
"55","1954-07",81
"56","1954-08",27
"57","1954-09",53
"58","1954-10",21
"59","1954-11",86
"60","1954-12",267
"61","1955-01",1477
"62","1955-02",90
"63","1955-03",29
"64","1955-04",72
"65","1955-05",53
"66","1955-06",106
"67","1955-07",54
"68","1955-08",25
"69","1955-09",51
"70","1955-10",58
"71","1955-11",34
"72","1955-12",351
"73","1956-01",1359
"74","1956-02",38
"75","1956-03",101
"76","1956-04",78
"77","1956-05",47
"78","1956-06",29
"79","1956-07",45
"80","1956-08",91
"81","1956-09",55
"82","1956-10",62
"83","1956-11",86
"84","1956-12",207
"85","1957-01",1085
"86","1957-02",121
"87","1957-03",86
"88","1957-04",90
"89","1957-05",32
"90","1957-06",61
"91","1957-07",38
"92","1957-08",135
"93","1957-09",16
"94","1957-10",149
"95","1957-11",119
"96","1957-12",260
"97","1958-01",1494
"98","1958-02",50
"99","1958-03",123
"100","1958-04",74
"101","1958-05",66
"102","1958-06",108
"103","1958-07",88
"104","1958-08",50
"105","1958-09",111
"106","1958-10",50
"107","1958-11",127
"108","1958-12",257
"109","1959-01",1595
"110","1959-02",79
"111","1959-03",105
"112","1959-04",100
"113","1959-05",141
"114","1959-06",138
"115","1959-07",86
"116","1959-08",142
"117","1959-09",88
"118","1959-10",61
"119","1959-11",58
"120","1959-12",230
"121","1960-01",1503
"122","1960-02",87
"123","1960-03",106
"124","1960-04",126
"125","1960-05",93
"126","1960-06",96
"127","1960-07",149
"128","1960-08",135
"129","1960-09",122
"130","1960-10",96
"131","1960-11",84
"132","1960-12",360
"133","1961-01",1451
"134","1961-02",145
"135","1961-03",106
"136","1961-04",112
"137","1961-05",78
"138","1961-06",81
"139","1961-07",117
"140","1961-08",54
"141","1961-09",93
"142","1961-10",120
"143","1961-11",80
"144","1961-12",285
"145","1962-01",1354
"146","1962-02",169
"147","1962-03",132
"148","1962-04",105
"149","1962-05",100
"150","1962-06",155
"151","1962-07",67
"152","1962-08",106
"153","1962-09",37
"154","1962-10",108
"155","1962-11",120
"156","1962-12",434
"157","1963-01",948
"158","1963-02",157
"159","1963-03",163
"160","1963-04",80
"161","1963-05",133
"162","1963-06",121
"163","1963-07",91
"164","1963-08",114
"165","1963-09",163
"166","1963-10",190
"167","1963-11",187
"168","1963-12",434
"169","1964-01",1127
"170","1964-02",84
"171","1964-03",123
"172","1964-04",166
"173","1964-05",62
"174","1964-06",154
"175","1964-07",178
"176","1964-08",140
"177","1964-09",93
"178","1964-10",314
