x,date
612.2,1967-01-01
558.5,1967-02-01
735.8,1967-03-01
773.6,1967-04-01
814.9,1967-05-01
854.6,1967-06-01
696.4,1967-07-01
594.5,1967-08-01
615.1,1967-09-01
735.1,1967-10-01
683.7,1967-11-01
672.6,1967-12-01
702.2,1968-01-01
699.9,1968-02-01
850.9,1968-03-01
814.7,1968-04-01
900.3,1968-05-01
872.2,1968-06-01
828.6,1968-07-01
727.9,1968-08-01
663.0,1968-09-01
980.3,1968-10-01
864.2,1968-11-01
750.4,1968-12-01
729.8,1969-01-01
725.5,1969-02-01
809.1,1969-03-01
854.9,1969-04-01
901.1,1969-05-01
897.8,1969-06-01
760.7,1969-07-01
654.8,1969-08-01
807.7,1969-09-01
922.8,1969-10-01
797.1,1969-11-01
720.4,1969-12-01
624.5,1970-01-01
685.5,1970-02-01
745.8,1970-03-01
798.6,1970-04-01
810.9,1970-05-01
924.3,1970-06-01
761.4,1970-07-01
639.0,1970-08-01
580.7,1970-09-01
754.9,1970-10-01
539.4,1970-11-01
537.6,1970-12-01
692.9,1971-01-01
747.0,1971-02-01
897.4,1971-03-01
881.4,1971-04-01
886.8,1971-05-01
954.4,1971-06-01
816.1,1971-07-01
723.3,1971-08-01
884.4,1971-09-01
1047.7,1971-10-01
956.6,1971-11-01
739.8,1971-12-01
716.2,1972-01-01
808.6,1972-02-01
906.8,1972-03-01
894.4,1972-04-01
1024.1,1972-05-01
1017.3,1972-06-01
897.9,1972-07-01
807.3,1972-08-01
871.1,1972-09-01
1063.3,1972-10-01
1023.4,1972-11-01
842.9,1972-12-01
867.8,1973-01-01
912.2,1973-02-01
1133.0,1973-03-01
1015.3,1973-04-01
1134.4,1973-05-01
1075.3,1973-06-01
952.4,1973-07-01
828.7,1973-08-01
868.1,1973-09-01
969.6,1973-10-01
905.6,1973-11-01
687.7,1973-12-01
672.9,1974-01-01
676.7,1974-02-01
769.9,1974-03-01
806.8,1974-04-01
872.0,1974-05-01
799.9,1974-06-01
800.8,1974-07-01
802.8,1974-08-01
720.2,1974-09-01
751.0,1974-10-01
598.6,1974-11-01
502.1,1974-12-01
572.5,1975-01-01
678.6,1975-02-01
662.0,1975-03-01
651.1,1975-04-01
730.1,1975-05-01
759.6,1975-06-01
782.8,1975-07-01
674.9,1975-08-01
717.7,1975-09-01
879.8,1975-10-01
735.5,1975-11-01
693.2,1975-12-01
671.0,1976-01-01
747.7,1976-02-01
935.1,1976-03-01
902.7,1976-04-01
910.0,1976-05-01
944.2,1976-06-01
854.6,1976-07-01
753.1,1976-08-01
784.6,1976-09-01
860.4,1976-10-01
832.3,1976-11-01
798.3,1976-12-01
716.2,1977-01-01
799.0,1977-02-01
1069.0,1977-03-01
1016.3,1977-04-01
1041.5,1977-05-01
1104.2,1977-06-01
901.8,1977-07-01
919.5,1977-08-01
817.9,1977-09-01
1003.2,1977-10-01
870.7,1977-11-01
786.7,1977-12-01
679.6,1978-01-01
768.4,1978-02-01
1063.9,1978-03-01
1028.8,1978-04-01
1143.5,1978-05-01
1119.2,1978-06-01
913.7,1978-07-01
944.6,1978-08-01
819.7,1978-09-01
