M_TEEN,MALE,F_TEEN,FEMALE,DATE
278,1511,116,446,1948-01-01
310,1694,153,650,1948-02-01
298,1614,142,592,1948-03-01
225,1482,139,561,1948-04-01
185,1245,93,491,1948-05-01
385,1108,323,592,1948-06-01
356,1195,256,604,1948-07-01
274,1177,152,635,1948-08-01
197,1146,138,580,1948-09-01
166,981,90,510,1948-10-01
189,1163,128,553,1948-11-01
203,1344,104,554,1948-12-01
295,1923,149,628,1949-01-01
294,2292,180,708,1949-02-01
318,2267,169,629,1949-03-01
301,2081,171,724,1949-04-01
349,2154,193,820,1949-05-01
550,2163,388,865,1949-06-01
478,2547,356,1007,1949-07-01
408,2293,230,1025,1949-08-01
294,2115,271,955,1949-09-01
290,2419,190,889,1949-10-01
305,2108,192,965,1949-11-01
351,2270,191,878,1949-12-01
476,2882,187,1103,1950-01-01
448,3041,210,1092,1950-02-01
337,2802,196,978,1950-03-01
291,2429,122,823,1950-04-01
328,1930,178,827,1950-05-01
500,1779,344,928,1950-06-01
361,1826,291,838,1950-07-01
271,1443,179,720,1950-08-01
228,1328,178,756,1950-09-01
187,1074,136,658,1950-10-01
177,1186,155,838,1950-11-01
213,1343,169,684,1950-12-01
223,1522,125,779,1951-01-01
204,1450,130,754,1951-02-01
171,1216,142,794,1951-03-01
149,995,113,681,1951-04-01
147,859,106,658,1951-05-01
305,919,264,644,1951-06-01
278,954,218,622,1951-07-01
186,878,154,588,1951-08-01
152,862,152,720,1951-09-01
128,856,100,670,1951-10-01
180,928,136,746,1951-11-01
168,914,98,616,1951-12-01
250,1230,132,646,1952-01-01
244,1312,106,678,1952-02-01
198,1152,100,552,1952-03-01
166,1022,88,560,1952-04-01
188,862,154,578,1952-05-01
324,930,264,514,1952-06-01
266,1062,216,541,1952-07-01
178,1008,156,576,1952-08-01
176,894,136,522,1952-09-01
122,702,126,530,1952-10-01
162,752,116,564,1952-11-01
183,835,85,442,1952-12-01
170,1334,108,520,1953-01-01
174,1188,118,484,1953-02-01
166,1034,90,538,1953-03-01
132,1070,108,454,1953-04-01
140,894,98,404,1953-05-01
280,822,206,424,1953-06-01
234,886,158,432,1953-07-01
176,768,110,458,1953-08-01
141,814,108,556,1953-09-01
162,788,116,506,1953-10-01
175,1099,110,633,1953-11-01
252,1529,145,708,1953-12-01
294,2068,186,1013,1954-01-01
374,2386,192,1031,1954-02-01
324,2444,168,1101,1954-03-01
277,2329,179,1061,1954-04-01
314,2099,197,1048,1954-05-01
385,1978,313,1005,1954-06-01
427,2015,250,987,1954-07-01
346,1924,194,1006,1954-08-01
279,1885,194,1075,1954-09-01
188,1720,167,854,1954-10-01
239,1739,129,1008,1954-11-01
276,1831,125,777,1954-12-01
309,2245,133,982,1955-01-01
283,2248,144,894,1955-02-01
243,2123,136,795,1955-03-01
212,2013,138,799,1955-04-01
244,1485,180,781,1955-05-01
439,1381,297,776,1955-06-01
354,1332,215,761,1955-07-01
272,1236,189,839,1955-08-01
223,1095,178,842,1955-09-01
218,1118,137,811,1955-10-01
233,1253,207,843,1955-11-01
258,1433,157,753,1955-12-01
