x,date
57,1963-01-01
43,1963-02-01
99,1963-03-01
1,1963-04-01
113,1963-05-01
85,1963-06-01
71,1963-07-01
15,1963-08-01
155,1963-09-01
141,1963-10-01
127,1963-11-01
29,1963-12-01
58,1964-01-01
44,1964-02-01
100,1964-03-01
2,1964-04-01
114,1964-05-01
86,1964-06-01
72,1964-07-01
16,1964-08-01
156,1964-09-01
142,1964-10-01
128,1964-11-01
30,1964-12-01
59,1965-01-01
45,1965-02-01
101,1965-03-01
3,1965-04-01
115,1965-05-01
87,1965-06-01
73,1965-07-01
17,1965-08-01
157,1965-09-01
143,1965-10-01
129,1965-11-01
31,1965-12-01
60,1966-01-01
46,1966-02-01
102,1966-03-01
4,1966-04-01
116,1966-05-01
88,1966-06-01
74,1966-07-01
18,1966-08-01
158,1966-09-01
144,1966-10-01
130,1966-11-01
32,1966-12-01
61,1967-01-01
47,1967-02-01
103,1967-03-01
5,1967-04-01
117,1967-05-01
89,1967-06-01
75,1967-07-01
19,1967-08-01
159,1967-09-01
145,1967-10-01
131,1967-11-01
33,1967-12-01
62,1968-01-01
48,1968-02-01
104,1968-03-01
6,1968-04-01
118,1968-05-01
90,1968-06-01
76,1968-07-01
20,1968-08-01
160,1968-09-01
146,1968-10-01
132,1968-11-01
34,1968-12-01
63,1969-01-01
49,1969-02-01
105,1969-03-01
7,1969-04-01
119,1969-05-01
91,1969-06-01
77,1969-07-01
21,1969-08-01
161,1969-09-01
147,1969-10-01
133,1969-11-01
35,1969-12-01
64,1970-01-01
50,1970-02-01
106,1970-03-01
8,1970-04-01
120,1970-05-01
92,1970-06-01
78,1970-07-01
22,1970-08-01
162,1970-09-01
148,1970-10-01
134,1970-11-01
36,1970-12-01
65,1971-01-01
51,1971-02-01
107,1971-03-01
9,1971-04-01
121,1971-05-01
93,1971-06-01
79,1971-07-01
23,1971-08-01
163,1971-09-01
149,1971-10-01
135,1971-11-01
37,1971-12-01
66,1972-01-01
52,1972-02-01
108,1972-03-01
10,1972-04-01
122,1972-05-01
94,1972-06-01
80,1972-07-01
24,1972-08-01
164,1972-09-01
150,1972-10-01
136,1972-11-01
38,1972-12-01
67,1973-01-01
53,1973-02-01
109,1973-03-01
11,1973-04-01
123,1973-05-01
95,1973-06-01
81,1973-07-01
25,1973-08-01
165,1973-09-01
151,1973-10-01
137,1973-11-01
39,1973-12-01
68,1974-01-01
54,1974-02-01
110,1974-03-01
12,1974-04-01
124,1974-05-01
96,1974-06-01
82,1974-07-01
26,1974-08-01
166,1974-09-01
152,1974-10-01
138,1974-11-01
40,1974-12-01
69,1975-01-01
55,1975-02-01
111,1975-03-01
13,1975-04-01
125,1975-05-01
97,1975-06-01
83,1975-07-01
27,1975-08-01
167,1975-09-01
153,1975-10-01
139,1975-11-01
41,1975-12-01
70,1976-01-01
56,1976-02-01
112,1976-03-01
14,1976-04-01
126,1976-05-01
98,1976-06-01
84,1976-07-01
28,1976-08-01
168,1976-09-01
154,1976-10-01
140,1976-11-01
42,1976-12-01
