x,date
29296,1939-01-01
29394,1939-02-01
29804,1939-03-01
29786,1939-04-01
30145,1939-05-01
30520,1939-06-01
30472,1939-07-01
30870,1939-08-01
31608,1939-09-01
31975,1939-10-01
31837,1939-11-01
32037,1939-12-01
30966,1940-01-01
30995,1940-02-01
31328,1940-03-01
31397,1940-04-01
31738,1940-05-01
32016,1940-06-01
32019,1940-07-01
32586,1940-08-01
33379,1940-09-01
33806,1940-10-01
34000,1940-11-01
34653,1940-12-01
33833,1941-01-01
34119,1941-02-01
34592,1941-03-01
35197,1941-04-01
36062,1941-05-01
36736,1941-06-01
37262,1941-07-01
37799,1941-08-01
38354,1941-09-01
38407,1941-10-01
38293,1941-11-01
38548,1941-12-01
37706,1942-01-01
37833,1942-02-01
38488,1942-03-01
39138,1942-04-01
39686,1942-05-01
40172,1942-06-01
40625,1942-07-01
41226,1942-08-01
41663,1942-09-01
41832,1942-10-01
41863,1942-11-01
42322,1942-12-01
41578,1943-01-01
41810,1943-02-01
42216,1943-03-01
42507,1943-04-01
42542,1943-05-01
42974,1943-06-01
42868,1943-07-01
42720,1943-08-01
42753,1943-09-01
42827,1943-10-01
42945,1943-11-01
43153,1943-12-01
42135,1944-01-01
42075,1944-02-01
42076,1944-03-01
41983,1944-04-01
41951,1944-05-01
42135,1944-06-01
42023,1944-07-01
41963,1944-08-01
41855,1944-09-01
41758,1944-10-01
41800,1944-11-01
42320,1944-12-01
41444,1945-01-01
41516,1945-02-01
41653,1945-03-01
41393,1945-04-01
41249,1945-05-01
41276,1945-06-01
40909,1945-07-01
40544,1945-08-01
38680,1945-09-01
38659,1945-10-01
39110,1945-11-01
39692,1945-12-01
39413,1946-01-01
38865,1946-02-01
40033,1946-03-01
40816,1946-04-01
41211,1946-05-01
41763,1946-06-01
42082,1946-07-01
42724,1946-08-01
43176,1946-09-01
43275,1946-10-01
43612,1946-11-01
44140,1946-12-01
43108,1947-01-01
43100,1947-02-01
43349,1947-03-01
43309,1947-04-01
43392,1947-05-01
43764,1947-06-01
43604,1947-07-01
44066,1947-08-01
44591,1947-09-01
44741,1947-10-01
44807,1947-11-01
45514,1947-12-01
44224,1948-01-01
43956,1948-02-01
44291,1948-03-01
44082,1948-04-01
44471,1948-05-01
44951,1948-06-01
44989,1948-07-01
45338,1948-08-01
45796,1948-09-01
45693,1948-10-01
45588,1948-11-01
46074,1948-12-01
44159,1949-01-01
43821,1949-02-01
43747,1949-03-01
43881,1949-04-01
43636,1949-05-01
43668,1949-06-01
43352,1949-07-01
43823,1949-08-01
44335,1949-09-01
43447,1949-10-01
43653,1949-11-01
44596,1949-12-01
42976,1950-01-01
42573,1950-02-01
43410,1950-03-01
44011,1950-04-01
44377,1950-05-01
45044,1950-06-01
45272,1950-07-01
46401,1950-08-01
47005,1950-09-01
47239,1950-10-01
47207,1950-11-01
47931,1950-12-01
46686,1951-01-01
46833,1951-02-01
47312,1951-03-01
47505,1951-04-01
47624,1951-05-01
48059,1951-06-01
47888,1951-07-01
48195,1951-08-01
48486,1951-09-01
48550,1951-10-01
48621,1951-11-01
49397,1951-12-01
47659,1952-01-01
47765,1952-02-01
47931,1952-03-01
48268,1952-04-01
48319,1952-05-01
48305,1952-06-01
47977,1952-07-01
49077,1952-08-01
49829,1952-09-01
50156,1952-10-01
50346,1952-11-01
51274,1952-12-01
49470,1953-01-01
49541,1953-02-01
49878,1953-03-01
50071,1953-04-01
50182,1953-05-01
50575,1953-06-01
50390,1953-07-01
50631,1953-08-01
50867,1953-09-01
50807,1953-10-01
50472,1953-11-01
50833,1953-12-01
48766,1954-01-01
48543,1954-02-01
48519,1954-03-01
48787,1954-04-01
48679,1954-05-01
48999,1954-06-01
48704,1954-07-01
48974,1954-08-01
49391,1954-09-01
49515,1954-10-01
49765,1954-11-01
50473,1954-12-01
48764,1955-01-01
48764,1955-02-01
49269,1955-03-01
49822,1955-04-01
50254,1955-05-01
50957,1955-06-01
50868,1955-07-01
51270,1955-08-01
51791,1955-09-01
52021,1955-10-01
52193,1955-11-01
52950,1955-12-01
51249,1956-01-01
51255,1956-02-01
51531,1956-03-01
51897,1956-04-01
52245,1956-05-01
52778,1956-06-01
51847,1956-07-01
52802,1956-08-01
53165,1956-09-01
53409,1956-10-01
53435,1956-11-01
54068,1956-12-01
52168,1957-01-01
52146,1957-02-01
52336,1957-03-01
52713,1957-04-01
52896,1957-05-01
53298,1957-06-01
53041,1957-07-01
53326,1957-08-01
53536,1957-09-01
53412,1957-10-01
53161,1957-11-01
53479,1957-12-01
51353,1958-01-01
50588,1958-02-01
50418,1958-03-01
50477,1958-04-01
50703,1958-05-01
51197,1958-06-01
51013,1958-07-01
51470,1958-08-01
52141,1958-09-01
52134,1958-10-01
52511,1958-11-01
53103,1958-12-01
51721,1959-01-01
51642,1959-02-01
52087,1959-03-01
52774,1959-04-01
53384,1959-05-01
54038,1959-06-01
53843,1959-07-01
53636,1959-08-01
54082,1959-09-01
53991,1959-10-01
54168,1959-11-01
55124,1959-12-01
53448,1960-01-01
53422,1960-02-01
53494,1960-03-01
54285,1960-04-01
54349,1960-05-01
54768,1960-06-01
54412,1960-07-01
54610,1960-08-01
